DataSet;Project;Package;Class;Method;Smell;Multiclass;Severity;ATFD_method;FDP_method;MAXNESTING_method;LOC_method;CYCLO_method;NOLV_method;NOAV_method;FANOUT_method;CFNAMM_method;ATLD_method;CINT_method;CDISP_method;AMW_type;ATFD_type;CFNAMM_type;DIT_type;FANOUT_type;LCOM5_type;LOCNAMM_type;LOC_package;LOC_type;NIM_type;NOA_type;NOCS_package;NOCS_project;NOMNAMM_project;NOMNAMM_type;NOM_project;RFC_type;TCC_type;WMCNAMM_type;WMC_type;WOC_type;NOM_type;AMWNAMM_type;NOCS_type;NOM_package;NOMNAMM_package;LOCNAMM_package;LOC_project;LOCNAMM_project;NOAM_type;NOP_method;MaMCL_method;MeMCL_method;CLNAMM_method;num_not_final_not_static_attributes;number_private_visibility_attributes
large_class;Aseprite;Aseprite;AsepriteAnimation;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;4;0;1;0;0;6;784;6;0;4;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;4;0
data_class;Aseprite;Aseprite;AsepriteCel;;1;1;7;0;0;1;3;1;1;1;0;0;0;0;0;0;7;0;1;0;0;10;784;14;0;7;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;7;0
long_method;Aseprite;Aseprite;AsepriteFile;ConvertBytesToPixels(byte[] bytes, Color[] pixels, Color[] palette);1;2;5;0;3;5;25;8;10;10;0;0;15;0;0;8;9;0;1;0;0;369;784;394;1;9;17;17;13;0;15;1;0;8;8;0;1;0;0;15;13;495;784;495;0;3;0;0;0;9;0
large_class;Aseprite;Aseprite;AsepriteFile;;1;2;11;0;0;1;3;1;1;1;0;0;0;0;0;8;9;0;1;0;0;369;784;394;1;9;17;17;13;0;15;1;0;8;8;0;1;0;0;15;13;495;784;495;0;1;0;0;0;9;0
large_class;Aseprite;Aseprite;AsepriteFrame;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;2;0;1;0;0;9;784;9;0;2;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;2;0
long_method;Aseprite;Aseprite;AsepriteImporter;Import(string filename, ContentImporterContext context);0;0;0;0;0;0;3;1;2;2;0;0;3;0;0;1;0;0;1;0;0;3;784;6;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;2;0;0;0;0;0
large_class;Aseprite;Aseprite;AsepriteImporter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;3;784;6;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;1;0;0;0;0;0
large_class;Aseprite;Aseprite;AsepriteLayer;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;7;0;1;0;0;47;784;51;0;7;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;7;0
long_method;Aseprite;Aseprite;AsepriteProcessor;Process(AsepriteFile input, ContentProcessorContext context);0;0;0;0;1;0;6;1;2;2;0;0;5;0;0;1;0;0;1;0;0;3;784;9;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;2;0;0;0;0;0
large_class;Aseprite;Aseprite;AsepriteProcessor;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;3;784;9;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AsepriteReader;Read(ContentReader input, AsepriteFile existingInstance);1;3;6;0;8;5;123;11;32;32;7;11;60;28;0.25;11;1;11;1;7;0;4;784;127;1;1;17;17;13;0;15;22;0;11;11;0;1;0;0;15;13;495;784;495;0;2;3;2.2142857142857144;0;0;0
large_class;Aseprite;Aseprite;AsepriteReader;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;11;1;11;1;7;0;4;784;127;1;1;17;17;13;0;15;22;0;11;11;0;1;0;0;15;13;495;784;495;0;1;0;0;0;0;0
large_class;Aseprite;Aseprite;AsepriteTag;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;5;0;1;0;0;13;784;13;0;5;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;5;0
long_method;Aseprite;Aseprite;AsepriteWriter;GetRuntimeReader(TargetPlatform targetPlatform);0;0;0;0;2;0;4;1;2;2;0;0;2;0;0;3;0;2;1;2;0;5;784;66;3;0;17;17;13;3;15;5;0;9;9;0.6666666666666666;3;3;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AsepriteWriter;GetRuntimeType(TargetPlatform targetPlatform);0;0;0;0;1;0;4;1;2;2;0;0;2;0;0;3;0;2;1;2;0;5;784;66;3;0;17;17;13;3;15;5;0;9;9;0.6666666666666666;3;3;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AsepriteWriter;Write(ContentWriter output, ProcessedAseprite value);1;2;5;0;11;4;53;7;9;9;2;2;41;2;1;3;0;2;1;2;0;5;784;66;3;0;17;17;13;3;15;5;0;9;9;0.6666666666666666;3;3;0;15;13;495;784;495;0;2;3;2.0869565217391304;0;0;0
large_class;Aseprite;Aseprite;AsepriteWriter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;3;0;2;1;2;0;5;784;66;3;0;17;17;13;3;15;5;0;9;9;0.6666666666666666;3;3;0;15;13;495;784;495;0;1;0;0;0;0;0
large_class;Aseprite;Aseprite;AudioFile;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;3;0;1;0;0;6;784;6;0;3;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;3;0
long_method;Aseprite;Aseprite;AudioImporter;Import(string filename, ContentImporterContext context);0;0;0;0;0;0;3;1;2;9;0;1;13;0;0;1;0;3;1;2;0;4;784;24;1;0;17;17;13;2;15;4;0;2;2;1;2;1;0;15;13;495;784;495;0;2;0;0;1;0;0
long_method;Aseprite;Aseprite;AudioImporter;Load(string filename);0;0;0;0;3;1;17;1;7;7;2;2;11;2;1;1;0;3;1;2;0;4;784;24;1;0;17;17;13;2;15;4;0;2;2;1;2;1;0;15;13;495;784;495;0;1;2;2;0;0;0
large_class;Aseprite;Aseprite;AudioImporter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;3;1;2;0;4;784;24;1;0;17;17;13;2;15;4;0;2;2;1;2;1;0;15;13;495;784;495;0;1;0;0;0;0;0
