Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Data Class,Duplicati.Library.Logging,Duplicati.Library.Logging,LogEntry,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,22,0,39,0,0,0,0,0,2,0,0,39,22,0,0,0,0,1,0,0,0,2,1
Data Class,Aseprite,Aseprite,AsepriteCel,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,7,0
Data Class,BurningKnight,BurningKnight.assets.achievements,Achievement,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1354,2779,0,5064,0,0,0,0,0,2,0,0,16,3,0,0,0,0,1,0,0,0,5,0
Data Class,BurningKnight,BurningKnight.assets.items,ItemData,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1354,2779,0,5064,0,0,0,0,0,0,0,0,25,9,0,0,0,0,1,0,0,0,18,0
Data Class,BurningKnight,BurningKnight.entity.component,StatsComponent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,1354,2779,0,5064,0,0,0,0,0,4,0,0,177,52,0,0,0,0,1,0,0,0,16,7
Data Class,BurningKnight,BurningKnight.entity.component,TextGraphicsComponent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,1354,2779,0,5064,0,0,0,0,0,1,0,0,177,52,0,0,0,0,1,0,0,0,4,1
Data Class,BurningKnight,BurningKnight.entity.item,ItemPool,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,1354,2779,0,5064,0,0,0,0,0,2,0,0,101,48,0,0,0,0,1,0,0,0,0,1
Data Class,BurningKnight,BurningKnight.entity.projectile,Projectile,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,1354,2779,3,5064,0,0,0,0,0,12,0,0,44,16,0,0,0,0,1,0,0,0,40,2
Data Class,BurningKnight,BurningKnight.level,DoorPlaceholder,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1354,2779,0,5064,0,0,0,0,0,0,0,0,161,83,0,0,0,0,1,0,0,0,3,1
Data Class,BurningKnight,BurningKnight.state,PhotoCard,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,1354,2779,1,5064,0,0,0,0,0,4,0,0,124,31,0,0,0,0,1,0,0,0,11,3
Data Class,BurningKnight,BurningKnight.ui.inventory,UiItem,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,1354,2779,1,5064,0,0,0,0,0,5,0,0,31,2,0,0,0,0,1,0,0,0,16,6
Data Class,Lens,Lens.graphics,TextureRegion,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,85,243,0,560,0,0,0,0,0,1,0,0,22,9,0,0,0,0,1,0,0,0,3,0
Data Class,Lens,Lens.input,MouseData,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,85,243,0,560,0,0,0,0,0,2,0,0,73,9,0,0,0,0,1,0,0,0,3,1
Data Class,Lens,Lens,Engine,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,85,243,3,560,0,0,0,0,0,16,0,0,19,5,0,0,0,0,1,0,0,0,13,5
