Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Data Class,OpenRA.Game,OpenRA,GameInformation,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,120,316,665,2,1592,0,0,0,0,0,4,0,0,731,350,0,0,0,0,1,0,0,0,8,0
Data Class,OpenRA.Game,OpenRA.GameRules,MusicInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,316,665,0,1592,0,0,0,0,0,1,0,0,11,4,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA.Graphics,PaletteReference,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,316,665,0,1592,0,0,0,0,0,0,0,0,237,75,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA,HotkeyDefinition,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,316,665,0,1592,0,0,0,0,0,0,0,0,731,350,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA,MapGrid,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,120,316,665,0,1592,0,0,0,0,0,2,0,0,731,350,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA,TerrainTemplateInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,120,316,665,1,1592,0,0,0,0,0,2,0,0,731,350,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA,ModData,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,120,316,665,1,1592,0,0,0,0,0,5,0,0,731,350,0,0,0,0,1,0,0,0,2,0
Data Class,OpenRA.Game,OpenRA.Network,GameServer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,316,665,1,1592,0,0,0,0,0,2,0,0,111,35,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Game,OpenRA.Server,Connection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,316,665,0,1592,0,0,0,0,0,3,0,0,38,13,0,0,0,0,1,0,0,0,11,0
Data Class,OpenRA.Game,OpenRA.Traits,FrozenActor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,316,665,2,1592,0,0,0,0,0,7,0,0,92,31,0,0,0,0,1,0,0,0,6,0
