Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Graphics,DefaultSpriteSequence,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1588,1903,8,4624,0,0,0,0,0,9,0,0,39,14,0,0,0,0,1,0,0,0,1,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Projectiles,Railgun,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1588,1903,0,4624,0,0,0,0,0,3,0,0,44,10,0,0,0,0,1,0,0,0,3,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,ArmamentInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,812,1588,1903,1,4624,0,0,0,0,0,2,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,BridgeInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,812,1588,1903,1,4624,0,0,0,0,0,2,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,Gate,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,812,1588,1903,2,4624,0,0,0,0,0,8,0,0,2291,878,0,0,0,0,1,0,0,0,3,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,TransformsIntoMobileInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,812,1588,1903,1,4624,0,0,0,0,0,2,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,CargoInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,812,1588,1903,1,4624,0,0,0,0,0,1,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,ExplodesInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,812,1588,1903,1,4624,0,0,0,0,0,2,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,GainsExperienceInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,812,1588,1903,1,4624,0,0,0,0,0,1,0,0,2291,878,0,0,0,0,1,0,0,0,0,0
Data Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Traits,Parachutable,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,812,1588,1903,0,4624,0,0,0,0,0,2,0,0,2291,878,0,0,0,0,1,0,0,0,2,0
