Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Data Class,osu.Game,osu.Game.Beatmaps,BeatmapInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,1813,2800,5,6032,0,0,0,0,0,5,0,0,157,93,0,0,0,0,1,0,0,0,2,1
Data Class,osu.Game,osu.Game.Beatmaps,BeatmapMetadata,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1813,2800,1,6032,0,0,0,0,0,2,0,0,157,93,0,0,0,0,1,0,0,0,1,0
Data Class,osu.Game,osu.Game.Beatmaps.Timing,BreakPeriod,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1813,2800,0,6032,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
Data Class,osu.Game,osu.Game.Collections,BeatmapCollection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1813,2800,1,6032,0,0,0,0,0,1,0,0,82,24,0,0,0,0,1,0,0,0,0,0
Data Class,osu.Game,osu.Game.Configuration,DatabasedSetting,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1813,2800,0,6032,0,0,0,0,0,1,0,0,17,13,0,0,0,0,1,0,0,0,1,0
Data Class,osu.Game,osu.Game.Database,DatabaseWriteUsage,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1813,2800,1,6032,0,0,0,0,0,2,0,0,93,58,0,0,0,0,1,0,0,0,3,2
Data Class,osu.Game,osu.Game.Graphics.Backgrounds,Triangles,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1813,2800,3,6032,0,0,0,0,0,15,0,0,25,3,0,0,0,0,1,0,0,0,7,10
Data Class,osu.Game,osu.Game.Graphics.UserInterface,DialogButton,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,1813,2800,0,6032,0,0,0,0,0,8,0,0,289,161,0,0,0,0,1,0,0,0,4,16
Data Class,osu.Game,osu.Game.Graphics.UserInterface,LineGraph,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,77,1813,2800,1,6032,0,0,0,0,0,3,0,0,289,161,0,0,0,0,1,0,0,0,2,5
Data Class,osu.Game,osu.Game.Graphics.UserInterface,ProgressBar,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,1813,2800,0,6032,0,0,0,0,0,2,0,0,289,161,0,0,0,0,1,0,0,0,1,2
Data Class,osu.Game,osu.Game.Graphics.UserInterface,TwoLayerButton,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,77,1813,2800,2,6032,0,0,0,0,0,6,0,0,289,161,0,0,0,0,1,0,0,0,3,8
Data Class,osu.Game,osu.Game.Online.API,OAuth,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,1813,2800,0,6032,0,0,0,0,0,8,0,0,59,23,0,0,0,0,1,0,0,0,0,4
Data Class,osu.Game,osu.Game.Online.API.Requests.Responses,APISeasonalBackgrounds,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1813,2800,0,6032,0,0,0,0,0,0,0,0,10,8,0,0,0,0,1,0,0,0,1,0
Data Class,osu.Game,osu.Game.Online.Multiplayer,MultiplayerRoom,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1813,2800,0,6032,0,0,0,0,0,1,0,0,50,26,0,0,0,0,1,0,0,0,0,0
Data Class,osu.Game,osu.Game.Online.Rooms,MultiplayerScore,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1813,2800,0,6032,0,0,0,0,0,1,0,0,35,20,0,0,0,0,1,0,0,0,1,0
Data Class,osu.Game,osu.Game.Online.Rooms,OnlinePlayBeatmapAvailablilityTracker,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,1813,2800,0,6032,0,0,0,0,0,4,0,0,35,20,0,0,0,0,1,0,0,0,0,1
Data Class,osu.Game,osu.Game.Overlays.BeatmapListing,BeatmapListingSearchControl,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,1813,2800,0,6032,0,0,0,0,0,3,0,0,66,39,0,0,0,0,1,0,0,0,2,12
Data Class,osu.Game,osu.Game.Overlays.BeatmapSet,BeatmapPicker,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1813,2800,1,6032,0,0,0,0,0,12,0,0,64,17,0,0,0,0,1,0,0,0,1,5
Data Class,osu.Game,osu.Game.Overlays.BeatmapSet,BeatmapSetHeader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,1813,2800,1,6032,0,0,0,0,0,3,0,0,64,17,0,0,0,0,1,0,0,0,0,1
Data Class,osu.Game,osu.Game.Overlays.BeatmapSet,BeatmapSetHeaderContent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,1813,2800,0,6032,0,0,0,0,0,2,0,0,64,17,0,0,0,0,1,0,0,0,0,14
Data Class,osu.Game,osu.Game.Overlays.BeatmapSet.Buttons,FavouriteButton,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1813,2800,1,6032,0,0,0,0,0,3,0,0,12,3,0,0,0,0,1,0,0,0,2,4
Data Class,osu.Game,osu.Game.Overlays.BeatmapSet,Info,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,1813,2800,0,6032,0,0,0,0,0,1,0,0,64,17,0,0,0,0,1,0,0,0,0,7
Data Class,osu.Game,osu.Game.Overlays.Chat,DrawableChannel,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1813,2800,3,6032,0,0,0,0,0,9,0,0,16,4,0,0,0,0,1,0,0,0,3,2
Data Class,osu.Game,osu.Game.Overlays.Chat.Selection,ChannelListItem,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,1813,2800,0,6032,0,0,0,0,0,4,0,0,11,2,0,0,0,0,1,0,0,0,5,11
Data Class,osu.Game,osu.Game.Overlays.Chat.Selection,ChannelSection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1813,2800,0,6032,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,1
Data Class,osu.Game,osu.Game.Overlays.Chat.Tabs,ChannelTabItem,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1813,2800,4,6032,0,0,0,0,0,10,0,0,26,13,0,0,0,0,1,0,0,0,4,6
Data Class,osu.Game,osu.Game.Overlays.KeyBinding,KeyBindingRow,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1813,2800,9,6032,0,0,0,0,0,26,0,0,36,14,0,0,0,0,1,0,0,0,7,10
Data Class,osu.Game,osu.Game.Overlays.Mods,ModSettingsContainer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1813,2800,2,6032,0,0,0,0,0,6,0,0,45,13,0,0,0,0,1,0,0,0,0,4
Data Class,osu.Game,osu.Game.Overlays.Music,Playlist,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1813,2800,2,6032,0,0,0,0,0,3,0,0,30,14,0,0,0,0,1,0,0,0,1,0
Data Class,osu.Game,osu.Game.Overlays.Music,PlaylistItem,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1813,2800,1,6032,0,0,0,0,0,6,0,0,30,14,0,0,0,0,1,0,0,0,9,8
Data Class,osu.Game,osu.Game.Overlays,NotificationOverlay,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,66,1813,2800,2,6032,0,0,0,0,0,11,0,0,329,171,0,0,0,0,1,0,0,0,5,6
