Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Files,Files.Filesystem.StorageItems,FtpStorageFile,OpenSequentialReadAsync(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,422,1646,29,2139,0,0,0,0,0,29,0,0,377,338,0,0,0,0,0,3,2.142857142857143,0,0,0
Feature Envy,Files,Files.Filesystem.StorageItems,FtpStorageFolder,CreateFolderAsync(string desiredName),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,422,1646,42,2139,0,0,0,0,0,42,0,0,377,338,0,0,0,0,1,0,0,1,0,0
Feature Envy,Files,Files.Filesystem.StorageItems,FtpStorageFolder,"CreateFolderAsync(string desiredName, CreationCollisionOption options)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,422,1646,42,2139,0,0,0,0,0,42,0,0,377,338,0,0,0,0,2,3,2.142857142857143,0,0,0
Feature Envy,Files,Files.Filesystem.StorageItems,FtpStorageFolder,GetItemAsync(string name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,422,1646,42,2139,0,0,0,0,0,42,0,0,377,338,0,0,0,0,1,3,2.125,0,0,0
Feature Envy,Files,Files.Filesystem.StorageEnumerators,UniversalStorageEnumerator,"AddFolderAsync(BaseStorageFolder folder, StorageFolderWithPath currentStorageFolder, string dateReturnFormat, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,422,1646,4,2139,0,0,0,0,0,4,0,0,7,6,0,0,0,0,4,2,2,0,0,0
Feature Envy,Files,Files.Helpers.ContextFlyouts,ItemModelListToContextFlyoutHelper,GetItem(ContextMenuFlyoutItemViewModel i),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,422,1646,8,2139,0,0,0,0,0,8,0,0,8,8,0,0,0,0,1,3,2.25,0,0,0
Feature Envy,Files,Files.Helpers,NavigationHelpers,"OpenDirectory(string path, IShellPage associatedInstance, IEnumerable<string> selectItems, ShortcutItem shortcutInfo)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,422,1646,11,2139,0,0,0,0,0,11,0,0,285,215,0,0,0,0,4,4,2.5294117647058822,3,0,0
Feature Envy,Files,Files.Interacts,BaseLayoutCommandImplementationModel,DecompressArchiveHere(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,422,1646,12,2139,0,0,0,0,0,46,0,0,69,29,0,0,0,0,0,3,2.1818181818181817,0,0,2
Feature Envy,Files,Files.ViewModels.Properties,SecurityProperties,SetFileOwner(string ownerSid),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,422,1646,11,2139,0,0,0,0,0,14,0,0,52,45,0,0,0,0,1,2,2,0,6,6
Feature Envy,Files,Files.ViewModels.Widgets.Bundles,BundleContainerViewModel,"AddItemsFromPath(IDictionary<string, FilesystemItemType> paths)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,422,1646,17,2139,0,0,0,0,0,19,0,0,42,37,0,0,0,0,1,2,2,0,5,5
