Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Converters,KeyValuePairConverter,"ReadJson(JsonReader reader, Type objectType, object? existingValue, JsonSerializer serializer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,182,1160,1,1645,0,0,0,0,0,4,0,0,33,24,0,0,0,0,4,3,2.1052631578947367,0,0,3
Feature Envy,Newtonsoft.Json,Newtonsoft.Json,JsonValidatingReader,WriteToken(IList<JsonSchemaModel> schemas),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,182,1160,12,1645,0,0,0,0,0,34,0,0,390,253,0,0,0,0,1,3,2.4166666666666665,1,3,6
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Schema,JsonSchemaBuilder,ProcessSchemaProperties(JObject schemaObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,182,1160,11,1645,0,0,0,0,0,16,0,0,62,47,0,0,0,0,1,3,3,9,2,5
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,DefaultContractResolver,"SetExtensionDataDelegates(JsonObjectContract contract, MemberInfo member)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,182,1160,40,1645,0,0,0,0,0,45,0,0,273,151,0,0,0,0,2,3,2.263157894736842,0,0,5
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,DefaultContractResolver,"CreatePropertyFromConstructorParameter(JsonProperty? matchingMemberProperty, ParameterInfo parameterInfo)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,182,1160,40,1645,0,0,0,0,0,45,0,0,273,151,0,0,0,0,2,0,0,1,0,5
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,DefaultContractResolver,CreateDictionaryContract(Type objectType),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,182,1160,40,1645,0,0,0,0,0,45,0,0,273,151,0,0,0,0,1,3,2.111111111111111,2,0,5
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,JsonArrayContract,CreateWrapper(object list),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,182,1160,0,1645,0,0,0,0,0,2,0,0,273,151,0,0,0,0,1,3,2.142857142857143,0,5,7
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,JsonSerializerInternalReader,"Deserialize(JsonReader reader, Type? objectType, bool checkAdditionalContent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,182,1160,44,1645,0,0,0,0,0,44,0,0,273,151,0,0,0,0,3,2,2,5,0,0
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,JsonSerializerInternalReader,"EnsureType(JsonReader reader, object? value, CultureInfo culture, JsonContract? contract, Type? targetType)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,182,1160,44,1645,0,0,0,0,0,44,0,0,273,151,0,0,0,0,5,2,2,0,0,0
Feature Envy,Newtonsoft.Json,Newtonsoft.Json.Serialization,JsonSerializerInternalReader,"CalculatePropertyDetails(JsonProperty property, ref JsonConverter? propertyConverter, JsonContainerContract? containerContract, JsonProperty? containerProperty, JsonReader reader, object target, out bool useExistingValue, out object? currentValue, out JsonContract? propertyContract, out bool gottenCurrentValue, out bool ignoredValue)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,182,1160,44,1645,0,0,0,0,0,44,0,0,273,151,0,0,0,0,11,3,2.3076923076923075,6,0,0
