Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,ScreenToGif,ScreenToGif.Controls,NotificationBox,"CancelEncoding_Clicked(object sender, RoutedEventArgs args)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,69,503,1956,10,2782,0,0,0,0,0,14,0,0,585,336,0,0,0,0,2,3,2.5,0,4,4
Feature Envy,ScreenToGif,ScreenToGif.Controls,HideableTabControl,AnimateOrNot(bool add = false),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,503,1956,0,2782,0,0,0,0,0,12,0,0,585,336,0,0,0,0,1,3,2.2857142857142856,0,6,6
Feature Envy,ScreenToGif,ScreenToGif.ImageUtil.Gif.Decoder,GifFile,"Read(Stream stream, bool metadataOnly)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,503,1956,3,2782,0,0,0,0,0,3,0,0,36,36,0,0,0,0,2,2,2,1,0,0
Feature Envy,ScreenToGif,ScreenToGif.ViewModel.Tasks,BorderViewModel,FromSettings(bool isManual = false),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,503,1956,3,2782,0,0,0,0,0,3,0,0,23,23,0,0,0,0,1,0,0,0,5,5
Feature Envy,ScreenToGif,ScreenToGif.Util,ActionStack,"Undo(List<FrameInfo> current, bool pushToRedo = true)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,503,1956,3,2782,0,0,0,0,0,16,0,0,475,378,0,0,0,0,2,3,2.0681818181818183,3,0,2
Feature Envy,ScreenToGif,ScreenToGif.Capture,DirectCachedCapture,CaptureWithCursor(FrameInfo frame),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,503,1956,5,2782,0,0,0,0,0,8,0,0,61,34,0,0,0,0,1,4,2.2903225806451615,0,3,3
Feature Envy,ScreenToGif,ScreenToGif.Capture,DirectChangedCachedCapture,Capture(FrameInfo frame),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,503,1956,2,2782,0,0,0,0,0,2,0,0,61,34,0,0,0,0,1,4,2.2580645161290325,0,0,0
Feature Envy,ScreenToGif,ScreenToGif.Capture,DirectChangedImageCapture,Capture(FrameInfo frame),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,503,1956,2,2782,0,0,0,0,0,2,0,0,61,34,0,0,0,0,1,3,2.161290322580645,0,0,0
Feature Envy,ScreenToGif,ScreenToGif.Capture,DirectImageCapture,"GetCursor(Texture2D screenTexture, OutputDuplicateFrameInformation info, FrameInfo frame)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,503,1956,11,2782,0,0,0,0,0,19,0,0,61,34,0,0,0,0,3,3,2.25,0,12,0
Feature Envy,ScreenToGif,ScreenToGif.Util,GifskiInterop,"AddFrame(IntPtr handle, uint index, string path, int delay, double lastTimestamp = 0, bool isLast = false)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,503,1956,0,2782,0,0,0,0,0,7,0,0,475,378,0,0,0,0,6,2,2,4,1,10
