Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,Sonarr.Core,NzbDrone.Core.Datastore.Migration,download_client_import,"AssociateImportedHistoryItems(IDbConnection conn, IDbTransaction tran)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,1378,1558,4,2980,0,0,0,0,0,4,0,0,248,226,0,0,0,0,2,4,2.2580645161290325,0,0,0
Feature Envy,Sonarr.Core,NzbDrone.Core.DecisionEngine.Specifications,BlockedIndexerSpecification,"IsSatisfiedBy(RemoteEpisode subject, SearchCriteriaBase searchCriteria)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,1378,1558,0,2980,0,0,0,0,0,2,0,0,33,2,0,0,0,0,2,4,2.5,0,0,3
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.Clients.DownloadStation,UsenetDownloadStation,GetItems(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1378,1558,15,2980,0,0,0,0,0,20,0,0,51,35,0,0,0,0,0,3,2.272727272727273,2,0,0
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.Clients.UTorrent,UTorrent,"AddFromMagnetLink(RemoteEpisode remoteEpisode, string hash, string magnetLink)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1378,1558,2,2980,0,0,0,0,0,10,0,0,28,17,0,0,0,0,3,3,2.142857142857143,0,0,2
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.Clients.UTorrent,UTorrentTorrentJsonConverter,"ReadJson(JsonReader reader, Type objectType, object existingValue, JsonSerializer serializer)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1378,1558,3,2980,0,0,0,0,0,3,0,0,28,17,0,0,0,0,4,2,2,0,0,0
Feature Envy,Sonarr.Core,NzbDrone.Core.Download,DownloadClientItemClientInfo,FromDownloadClient(DownloadClientBase<TSettings> downloadClient),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1378,1558,1,2980,0,0,0,0,0,1,0,0,57,24,0,0,0,0,1,0,0,0,0,0
Feature Envy,Sonarr.Core,NzbDrone.Core.Download,FailedDownloadService,ProcessFailed(TrackedDownload trackedDownload),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,1378,1558,0,2980,0,0,0,0,0,5,0,0,57,24,0,0,0,0,1,4,2.5,0,0,3
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.History,DownloadHistoryService,Handle(EpisodeGrabbedEvent message),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1378,1558,0,2980,0,0,0,0,0,9,0,0,11,2,0,0,0,0,1,4,3,0,0,2
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.History,DownloadHistoryService,Handle(EpisodeImportedEvent message),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1378,1558,0,2980,0,0,0,0,0,9,0,0,11,2,0,0,0,0,1,3,2.4444444444444446,0,0,2
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.History,DownloadHistoryService,Handle(DownloadCompletedEvent message),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1378,1558,0,2980,0,0,0,0,0,9,0,0,11,2,0,0,0,0,1,3,2.6666666666666665,0,0,2
Feature Envy,Sonarr.Core,NzbDrone.Core.Download.History,DownloadHistoryService,Handle(DownloadFailedEvent message),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1378,1558,0,2980,0,0,0,0,0,9,0,0,11,2,0,0,0,0,1,3,2.6666666666666665,0,0,2
