Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,osu.Game,osu.Game.Online.API.Requests.Responses,APILegacyScoreInfo,CreateScoreInfo(RulesetStore rulesets),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1813,2800,1,6032,0,0,0,0,0,1,0,0,10,8,0,0,0,0,1,2,2,0,0,0
Feature Envy,osu.Game,osu.Game.Online.Multiplayer,StatefulMultiplayerClient,"ChangeSettings(Optional<string> name = default, Optional<PlaylistItem> item = default)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1813,2800,21,6032,0,0,0,0,0,29,0,0,50,26,0,0,0,0,2,3,2.4,1,3,4
Feature Envy,osu.Game,osu.Game.Online.Multiplayer,StatefulMultiplayerClient,ChangeSettings(MultiplayerRoomSettings settings),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1813,2800,21,6032,0,0,0,0,0,29,0,0,50,26,0,0,0,0,1,0,0,0,3,4
Feature Envy,osu.Game,osu.Game.Overlays.Chat.Tabs,ChannelTabItem,load(OsuColour colours),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1813,2800,4,6032,0,0,0,0,0,10,0,0,26,13,0,0,0,0,1,0,0,0,4,6
Feature Envy,osu.Game,osu.Game.Overlays.Comments,CommentsContainer,load(OverlayColourProvider colourProvider),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,1813,2800,1,6032,0,0,0,0,0,8,0,0,75,16,0,0,0,0,1,2,2,0,8,10
Feature Envy,osu.Game,osu.Game.Overlays.Mods,ModSection,"updateButtonSelection(ModButton button, IReadOnlyList<Mod> newSelectedMods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1813,2800,3,6032,0,0,0,0,0,10,0,0,45,13,0,0,0,0,2,2,2,0,6,7
Feature Envy,osu.Game,osu.Game.Overlays.Profile.Header,DetailHeaderContainer,updateDisplay(User user),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1813,2800,0,6032,0,0,0,0,0,2,0,0,13,2,0,0,0,0,1,2,2,0,7,8
Feature Envy,osu.Game,osu.Game.Overlays.Profile.Sections.Kudosu,DrawableKudosuHistoryItem,getString(APIKudosuHistory item),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1813,2800,0,6032,0,0,0,0,0,2,0,0,7,3,0,0,0,0,1,2,2,0,0,4
Feature Envy,osu.Game,osu.Game.Overlays.Settings.Sections.General,LoginSettings,onlineStateChanged(ValueChangedEvent<APIState> state),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1813,2800,9,6032,0,0,0,0,0,15,0,0,33,23,0,0,0,0,1,3,2.4285714285714284,0,5,5
Feature Envy,osu.Game,osu.Game.Rulesets.Objects.Legacy,ConvertHitObjectParser,Parse(string text),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1813,2800,14,6032,0,0,0,0,0,21,0,0,34,20,0,0,0,0,1,2,2,11,0,0
