Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,Aseprite,Aseprite,AsepriteAnimation,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,4,0
Large Class,Aseprite,Aseprite,AsepriteFile,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,17,13,0,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,9,0
Large Class,Aseprite,Aseprite,AsepriteLayer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,7,0
Large Class,Aseprite,Aseprite,AsepriteFrame,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,2,0
Large Class,Aseprite,Aseprite,AsepriteTag,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,5,0
Large Class,Aseprite,Aseprite,AsepriteCel,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,7,0
Large Class,Aseprite,Aseprite,AsepriteImporter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AsepriteProcessor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,ProcessedAseprite,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,2,0
Large Class,Aseprite,Aseprite,AsepriteReader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,13,0,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AsepriteWriter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AudioFile,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,17,13,0,15,0,0,0,0,0,0,0,0,15,13,0,0,0,0,1,0,0,0,3,0
Large Class,Aseprite,Aseprite,AudioImporter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,2,15,0,0,0,0,0,2,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AudioProcessor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AudioReader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,AudioWriter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Large Class,Aseprite,Aseprite,Calc,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,1,0,0,0,0,0
