Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,BurningKnight,BurningKnight.assets,CommonAse,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1354,2771,0,5064,0,0,0,0,0,1,0,0,26,10,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.assets,Dialogs,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1354,2771,3,5064,0,0,0,0,0,5,0,0,26,10,0,0,0,0,1,0,0,0,0,1
Large Class,BurningKnight,BurningKnight.assets,Font,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1354,2771,1,5064,0,0,0,0,0,2,0,0,26,10,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.assets,ImGuiHelper,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,1354,2771,4,5064,0,0,0,0,0,14,0,0,26,10,0,0,0,0,1,0,0,0,0,12
Large Class,BurningKnight,BurningKnight.assets,Palette,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1354,2771,0,5064,0,0,0,0,0,1,0,0,26,10,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.assets,Shaders,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1354,2771,2,5064,0,0,0,0,0,3,0,0,26,10,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight,BK,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1354,2771,5,5064,0,0,0,0,0,5,0,0,9,6,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.debug,BiomeCommand,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1354,2771,1,5064,0,0,0,0,0,1,0,0,36,27,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.debug,BuffCommand,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1354,2771,1,5064,0,0,0,0,0,1,0,0,36,27,0,0,0,0,1,0,0,0,0,0
Large Class,BurningKnight,BurningKnight.debug,CheatWindow,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,1354,2771,0,5064,0,0,0,0,0,1,0,0,36,27,0,0,0,0,1,0,0,0,0,0
