Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.AppBase,BaseApplicationPaths,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,217,775,0,1533,0,0,0,0,0,0,0,0,16,9,0,0,0,0,1,0,0,0,1,1
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.AppBase,BaseConfigurationManager,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,217,775,8,1533,0,0,0,0,0,15,0,0,16,9,0,0,0,0,1,0,0,0,4,7
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Channels,RefreshChannelsScheduledTask,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,217,775,1,1533,0,0,0,0,0,2,0,0,51,22,0,0,0,0,1,0,0,0,0,4
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Collections,CollectionImageProvider,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,775,3,1533,0,0,0,0,0,3,0,0,13,6,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Cryptography,CryptographyProvider,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,217,775,4,1533,0,0,0,0,0,8,0,0,8,4,0,0,0,0,1,0,0,0,2,3
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Data,BaseSqliteRepository,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,217,775,8,1533,0,0,0,0,0,10,0,0,166,119,0,0,0,0,1,0,0,0,1,1
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Data,CleanDatabaseScheduledTask,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,217,775,1,1533,0,0,0,0,0,2,0,0,166,119,0,0,0,0,1,0,0,0,0,2
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Devices,DeviceId,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,217,775,2,1533,0,0,0,0,0,4,0,0,12,4,0,0,0,0,1,0,0,0,1,4
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Images,BaseFolderImageProvider,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,217,775,3,1533,0,0,0,0,0,4,0,0,32,28,0,0,0,0,1,0,0,0,1,0
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Library.Resolvers.Books,BookResolver,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,217,775,0,1533,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.LiveTv.EmbyTV,EncodedRecorder,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,217,775,4,1533,0,0,0,0,0,10,0,0,132,59,0,0,0,0,1,0,0,0,4,10
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.MediaEncoder,EncodingManager,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,217,775,2,1533,0,0,0,0,0,6,0,0,6,2,0,0,0,0,1,0,0,0,0,7
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Playlists,PlaylistsFolder,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,217,775,3,1533,0,0,0,0,0,3,0,0,15,7,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.ScheduledTasks.Tasks,DeleteTranscodeFileTask,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,217,775,1,1533,0,0,0,0,0,5,0,0,14,4,0,0,0,0,1,0,0,0,0,4
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.ScheduledTasks,RefreshMediaLibraryTask,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,217,775,1,1533,0,0,0,0,0,2,0,0,63,39,0,0,0,0,1,0,0,0,0,2
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.ScheduledTasks,IntervalTrigger,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,217,775,2,1533,0,0,0,0,0,4,0,0,63,39,0,0,0,0,1,0,0,0,1,1
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Sorting,ArtistComparer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,217,775,2,1533,0,0,0,0,0,2,0,0,44,43,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Sorting,DateLastMediaAddedComparer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,217,775,2,1533,0,0,0,0,0,2,0,0,44,43,0,0,0,0,1,0,0,0,0,0
Large Class,Emby.Server.Implementations,Emby.Server.Implementations.Sorting,SeriesSortNameComparer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,217,775,2,1533,0,0,0,0,0,2,0,0,44,43,0,0,0,0,1,0,0,0,0,0
