Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,Jellyfin.Api,Jellyfin.Api.Constants,Policies,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,176,148,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,ArtistsController,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,3,0,0,450,64,0,0,0,0,1,0,0,0,0,3
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,AudioController,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,176,148,0,606,0,0,0,0,0,2,0,0,450,64,0,0,0,0,1,0,0,0,0,2
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,ImageController,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,176,148,5,606,0,0,0,0,0,31,0,0,450,64,0,0,0,0,1,0,0,0,0,8
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,LocalizationController,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,176,148,0,606,0,0,0,0,0,4,0,0,450,64,0,0,0,0,1,0,0,0,0,1
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,PlaylistsController,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,176,148,0,606,0,0,0,0,0,5,0,0,450,64,0,0,0,0,1,0,0,0,0,4
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,PlaystateController,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,176,148,0,606,0,0,0,0,0,11,0,0,450,64,0,0,0,0,1,0,0,0,0,7
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,PluginsController,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,176,148,4,606,0,0,0,0,0,13,0,0,450,64,0,0,0,0,1,0,0,0,0,4
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,SessionController,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,176,148,0,606,0,0,0,0,0,16,0,0,450,64,0,0,0,0,1,0,0,0,0,4
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,StartupController,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,176,148,0,606,0,0,0,0,0,6,0,0,450,64,0,0,0,0,1,0,0,0,0,2
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,SyncPlayController,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,21,0,0,450,64,0,0,0,0,1,0,0,0,0,3
Large Class,Jellyfin.Api,Jellyfin.Api.Controllers,UserLibraryController,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,176,148,4,606,0,0,0,0,0,13,0,0,450,64,0,0,0,0,1,0,0,0,0,6
Large Class,Jellyfin.Api,Jellyfin.Api.Helpers,MediaInfoHelper,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,176,148,2,606,0,0,0,0,0,7,0,0,97,54,0,0,0,0,1,0,0,0,0,9
Large Class,Jellyfin.Api,Jellyfin.Api.Helpers,TranscodingJobHelper,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,176,148,5,606,0,0,0,0,0,27,0,0,97,54,0,0,0,0,1,0,0,0,0,11
Large Class,Jellyfin.Api,Jellyfin.Api.ModelBinders,CommaDelimitedArrayModelBinder,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,176,148,1,606,0,0,0,0,0,2,0,0,7,3,0,0,0,0,1,0,0,0,0,1
Large Class,Jellyfin.Api,Jellyfin.Api.Models.DisplayPreferencesDtos,DisplayPreferencesDto,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176,148,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,Jellyfin.Api,Jellyfin.Api.Models.StreamingDtos,StreamingRequestDto,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,176,148,0,606,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
Large Class,Jellyfin.Api,Jellyfin.Api.WebSocketListeners,ActivityLogWebSocketListener,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,176,148,2,606,0,0,0,0,0,3,0,0,17,12,0,0,0,0,1,0,0,0,0,1
Large Class,Jellyfin.Api,Jellyfin.Api.WebSocketListeners,SessionInfoWebSocketListener,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,176,148,7,606,0,0,0,0,0,9,0,0,17,12,0,0,0,0,1,0,0,0,0,1
