Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Authentication,AuthenticationResult,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184,686,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Collections,CollectionCreationOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,184,686,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Drawing,ImageHelper,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,3,811,0,0,0,0,0,3,0,0,10,10,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Drawing,ImageProcessingOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,4,811,0,0,0,0,0,4,0,0,10,10,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Drawing,ImageProcessorExtensions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,2,811,0,0,0,0,0,2,0,0,10,10,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Entities,Person,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,184,686,12,811,0,0,0,0,0,12,0,0,369,322,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Entities.TV,Episode,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,184,686,15,811,0,0,0,0,0,15,0,0,56,56,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.LiveTv,LiveTvChannel,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,184,686,9,811,0,0,0,0,0,9,0,0,19,18,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.LiveTv,TimerInfo,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,184,686,0,811,0,0,0,0,0,0,0,0,19,18,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingJobOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,184,686,0,811,0,0,0,0,0,0,0,0,80,57,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,ImageEncodingOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,184,686,0,811,0,0,0,0,0,0,0,0,80,57,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Notifications,UserNotification,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184,686,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Providers,ImageRefreshOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,184,686,1,811,0,0,0,0,0,1,0,0,11,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Providers,ItemInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,184,686,0,811,0,0,0,0,0,0,0,0,11,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.Providers,MetadataResult,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,184,686,3,811,0,0,0,0,0,3,0,0,11,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,PlayingGroupState,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,184,686,11,811,0,0,0,0,0,11,0,0,69,56,0,0,0,0,1,0,0,0,0,1
