Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,MediaBrowser.Model,MediaBrowser.Model.Configuration,EncodingOptions,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,195,139,0,154,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Configuration,ServerConfiguration,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,195,139,0,154,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,1,1
Large Class,MediaBrowser.Model,MediaBrowser.Model.Dlna,SubtitleStreamInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,0,154,0,0,0,0,0,0,0,0,119,108,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Dlna,UpnpDeviceInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,0,154,0,0,0,0,0,0,0,0,119,108,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Dto,BaseItemPerson,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,139,0,154,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Dto,ImageOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,139,0,154,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Dto,ItemCounts,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,139,0,154,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Entities,ChapterInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,139,0,154,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Entities,SpecialFolder,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,195,139,0,154,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Entities,VirtualFolderInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,139,0,154,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.LiveTv,TimerQuery,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.MediaInfo,PlaybackInfoRequest,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,195,139,0,154,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Net,MimeTypes,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,195,139,1,154,0,0,0,0,0,4,0,0,4,1,0,0,0,0,1,0,0,0,0,3
Large Class,MediaBrowser.Model,MediaBrowser.Model.Net,WebSocketMessage,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,195,139,0,154,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Plugins,PluginInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Plugins,PluginPageInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Providers,RemoteImageInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Providers,RemoteSearchResult,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,MediaBrowser.Model,MediaBrowser.Model.Updates,PackageInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,139,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
