Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Builder.Convertors,StringToColorConverter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272,553,4,877,0,0,0,0,0,4,0,0,4,4,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline,ExternalTool,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,272,553,5,877,0,0,0,0,0,5,0,0,121,76,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,AlphaTestMaterialContent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,272,553,0,877,0,0,0,0,0,0,0,0,254,154,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,CharacterCollection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,272,553,0,877,0,0,0,0,0,7,0,0,254,154,0,0,0,0,1,0,0,0,1,1
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,FontDescription,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68,272,553,0,877,0,0,0,0,0,0,0,0,254,154,0,0,0,0,1,0,0,0,7,7
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,GlyphPacker,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,272,553,7,877,0,0,0,0,0,7,0,0,254,154,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,SharpFontImporter,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,272,553,2,877,0,0,0,0,0,4,0,0,254,154,0,0,0,0,1,0,0,0,1,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,SkinnedMaterialContent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68,272,553,0,877,0,0,0,0,0,0,0,0,254,154,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Graphics,VertexContent,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,272,553,1,877,0,0,0,0,0,8,0,0,254,154,0,0,0,0,1,0,0,0,3,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Processors,MaterialProcessor,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,272,553,5,877,0,0,0,0,0,5,0,0,34,25,0,0,0,0,1,0,0,0,7,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Processors,ModelProcessor,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,272,553,5,877,0,0,0,0,0,8,0,0,34,25,0,0,0,0,1,0,0,0,7,7
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Processors,SoundEffectContent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,272,553,0,877,0,0,0,0,0,0,0,0,34,25,0,0,0,0,1,0,0,0,5,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Processors,VertexBufferContent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,272,553,2,877,0,0,0,0,0,3,0,0,34,25,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Serialization.Compiler,ContentWriter,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,272,553,11,877,0,0,0,0,0,23,0,0,121,81,0,0,0,0,1,0,0,0,14,0
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Serialization.Intermediate,ArraySerializer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,272,553,1,877,0,0,0,0,0,5,0,0,158,104,0,0,0,0,1,0,0,0,0,1
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Serialization.Intermediate,ElementSerializer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,272,553,5,877,0,0,0,0,0,7,0,0,158,104,0,0,0,0,1,0,0,0,0,1
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Serialization.Intermediate,ListSerializer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,272,553,1,877,0,0,0,0,0,5,0,0,158,104,0,0,0,0,1,0,0,0,1,1
Large Class,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline,TextureImporter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,272,553,4,877,0,0,0,0,0,4,0,0,121,76,0,0,0,0,1,0,0,0,0,0
