Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundEffectInstancePool,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,362,914,0,1863,0,0,0,0,0,6,0,0,215,79,0,0,0,0,1,0,0,0,0,3
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,Cue,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,362,914,2,1863,0,0,0,0,0,13,0,0,215,79,0,0,0,0,1,0,0,0,3,8
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,MultiArrayReader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,362,914,1,1863,0,0,0,0,0,3,0,0,140,88,0,0,0,0,1,0,0,0,1,0
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ContentTypeReaderManager,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75,362,914,0,1863,0,0,0,0,0,5,0,0,140,88,0,0,0,0,1,0,0,0,1,6
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework,Curve,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,362,914,3,1863,0,0,0,0,0,8,0,0,327,202,0,0,0,0,1,0,0,0,3,3
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework,CurveKeyCollection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,362,914,0,1863,0,0,0,0,0,10,0,0,327,202,0,0,0,0,1,0,0,0,0,1
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework,DrawableGameComponent,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,362,914,5,1863,0,0,0,0,0,7,0,0,327,202,0,0,0,0,1,0,0,0,4,4
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework,GameComponentCollection,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,362,914,6,1863,0,0,0,0,0,6,0,0,327,202,0,0,0,0,1,0,0,0,0,0
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework,GameServiceContainer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,362,914,2,1863,0,0,0,0,0,5,0,0,327,202,0,0,0,0,1,0,0,0,1,0
Large Class,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,DirectionalLight,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,106,362,914,0,1863,0,0,0,0,0,0,0,0,518,297,0,0,0,0,1,0,0,0,7,0
