Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,OpenRA.Game,OpenRA.Activities,TargetLineNode,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,316,665,0,1592,0,0,0,0,0,0,0,0,17,15,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Game,OpenRA.Effects,DelayedImpact,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,316,665,1,1592,0,0,0,0,0,2,0,0,6,3,0,0,0,0,1,0,0,0,1,0
Large Class,OpenRA.Game,OpenRA,FontData,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120,316,665,0,1592,0,0,0,0,0,0,0,0,731,350,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Game,OpenRA,Player,,1,2,2,0,0,2,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,120,316,665,6,1592,0,0,0,0,0,11,0,0,731,350,0,0,0,0,2,0,0,0,23,0
Large Class,OpenRA.Game,OpenRA.GameRules,SoundPool,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,316,665,0,1592,0,0,0,0,0,1,0,0,11,4,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Game,OpenRA.Graphics,GlyphInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,316,665,0,1592,0,0,0,0,0,0,0,0,237,75,0,0,0,0,1,0,0,0,3,0
Large Class,OpenRA.Game,OpenRA.Graphics,Theater,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,316,665,0,1592,0,0,0,0,0,4,0,0,237,75,0,0,0,0,1,0,0,0,2,0
Large Class,OpenRA.Game,OpenRA.Graphics,Util,,1,3,3,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,316,665,13,1592,0,0,0,0,0,14,0,0,237,75,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Game,OpenRA.Graphics,Viewport,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,316,665,3,1592,0,0,0,0,0,19,0,0,237,75,0,0,0,0,1,0,0,0,12,0
Large Class,OpenRA.Game,OpenRA,HotkeyDefinition,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,316,665,0,1592,0,0,0,0,0,0,0,0,731,350,0,0,0,0,1,0,0,0,0,0
