Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,CRC32,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,220,304,2,672,0,0,0,0,0,4,0,0,59,42,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,IdxReader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,220,304,0,672,0,0,0,0,0,0,0,0,59,42,0,0,0,0,1,0,0,0,1,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,VxlElement,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,220,304,0,672,0,0,0,0,0,0,0,0,59,42,0,0,0,0,1,0,0,0,2,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.SpriteLoaders,TmpTDLoader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,220,304,3,672,0,0,0,0,0,3,0,0,20,16,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,InfiltrateForCash,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,220,304,0,672,0,0,0,0,0,1,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,InfiltrateForDecorationInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,220,304,1,672,0,0,0,0,0,1,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,InfiltrateForDecoration,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,114,220,304,0,672,0,0,0,0,0,2,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,MadTankInfo,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,220,304,1,672,0,0,0,0,0,2,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,MineImmune,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,220,304,0,672,0,0,0,0,0,0,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits.Render,WithRoofInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,220,304,1,672,0,0,0,0,0,1,0,0,42,17,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,DropPodsPower,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,220,304,0,672,0,0,0,0,0,2,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,TransformsNearResourcesInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,114,220,304,1,672,0,0,0,0,0,1,0,0,352,139,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.UtilityCommands,Glob,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,220,304,1,672,0,0,0,0,0,3,0,0,54,42,0,0,0,0,1,0,0,0,0,0
