Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,ReturnToBase,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,1588,1903,1,4624,0,0,0,0,0,4,0,0,180,32,0,0,0,0,1,0,0,0,2,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,VisualMoveIntoTarget,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55,1588,1903,0,4624,0,0,0,0,0,4,0,0,180,32,0,0,0,0,1,0,0,0,1,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,RemoveSelf,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1588,1903,1,4624,0,0,0,0,0,1,0,0,180,32,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Commands,DebugVisualizationCommands,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1588,1903,0,4624,0,0,0,0,0,2,0,0,13,3,0,0,0,0,1,0,0,0,2,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Commands,HelpCommandInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1588,1903,0,4624,0,0,0,0,0,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Widgets,AddActorAction,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,1588,1903,1,4624,0,0,0,0,0,3,0,0,379,109,0,0,0,0,1,0,0,0,1,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Widgets,RemoveResourceAction,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,1588,1903,1,4624,0,0,0,0,0,3,0,0,379,109,0,0,0,0,1,0,0,0,1,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Effects,SpriteAnnotation,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1588,1903,1,4624,0,0,0,0,0,3,0,0,34,9,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.FileFormats,Huffman,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1588,1903,0,4624,0,0,0,0,0,0,0,0,43,12,0,0,0,0,1,0,0,0,2,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Lint,CheckActors,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1588,1903,1,4624,0,0,0,0,0,1,0,0,50,43,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Lint,CheckAngle,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1588,1903,3,4624,0,0,0,0,0,3,0,0,50,43,0,0,0,0,1,0,0,0,0,0
Large Class,OpenRA.Mods.Common,OpenRA.Mods.Common.Lint,CheckChromeHotkeys,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1588,1903,2,4624,0,0,0,0,0,2,0,0,50,43,0,0,0,0,1,0,0,0,0,0
