Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,ImageFilesCache,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,232,1226,0,1642,0,0,0,0,0,4,0,0,1642,1226,0,0,0,0,1,0,0,0,1,1
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,RandomFast,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,231,232,1226,2,1642,0,0,0,0,0,7,0,0,1642,1226,0,0,0,0,1,0,0,0,0,2
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,HotkeyInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,2,1642,0,0,0,0,0,2,0,0,1642,1226,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,BlackStyleForm,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,1,1642,0,0,0,0,0,1,0,0,1642,1226,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,LabelNoCopy,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,232,1226,0,1642,0,0,0,0,0,0,0,0,1642,1226,0,0,0,0,1,0,0,0,1,1
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,ShareXTheme,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,231,232,1226,2,1642,0,0,0,0,0,2,0,0,1642,1226,0,0,0,0,1,0,0,0,5,5
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,JsonFileNameEditor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,1,1642,0,0,0,0,0,1,0,0,1642,1226,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,CssFileNameEditor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,1,1642,0,0,0,0,0,1,0,0,1642,1226,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,DebugTimer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,232,1226,2,1642,0,0,0,0,0,4,0,0,1642,1226,0,0,0,0,1,0,0,0,1,1
Large Class,ShareX.HelpersLib,ShareX.HelpersLib,MyMessageBox,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,231,232,1226,2,1642,0,0,0,0,0,2,0,0,1642,1226,0,0,0,0,1,0,0,0,2,5
