Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,AmazonS3Settings,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,0,1275,0,0,0,0,0,0,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,AzureStorage,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,5,1275,0,0,0,0,0,6,0,0,352,235,0,0,0,0,1,0,0,0,0,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,UploadMetadataRequestFile,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,0,1275,0,0,0,0,0,0,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,PuushFileUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,3,1275,0,0,0,0,0,3,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,EmailFileUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,3,1275,0,0,0,0,0,3,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Email,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,4,1275,0,0,0,0,0,4,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,MediaFireFileUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,3,1275,0,0,0,0,0,3,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,MediaFire,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,185,442,696,5,1275,0,0,0,0,0,12,0,0,352,235,0,0,0,0,1,0,0,0,3,5
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,OneDrive,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,442,696,6,1275,0,0,0,0,0,10,0,0,352,235,0,0,0,0,1,0,0,0,0,3
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Streamable,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,0,1275,0,0,0,0,0,2,0,0,352,235,0,0,0,0,1,0,0,0,0,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Teknik,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,442,696,5,1275,0,0,0,0,0,5,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,VideoBinFileUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,2,1275,0,0,0,0,0,2,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,VideoBin,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,0,1275,0,0,0,0,0,1,0,0,352,235,0,0,0,0,1,0,0,0,0,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,YouTube,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,1,1275,0,0,0,0,0,6,0,0,352,235,0,0,0,0,1,0,0,0,1,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,YouTubeVideoSnippet,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,0,1275,0,0,0,0,0,0,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Pushbullet,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,3,1275,0,0,0,0,0,6,0,0,352,235,0,0,0,0,1,0,0,0,0,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib,EscapeHelper,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,442,696,0,1275,0,0,0,0,0,1,0,0,701,282,0,0,0,0,1,0,0,0,2,2
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.ImageUploaders,VgymeImageUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,442,696,3,1275,0,0,0,0,0,3,0,0,85,71,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib,CertFileNameEditor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,442,696,1,1275,0,0,0,0,0,1,0,0,701,282,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,DropboxFileUploaderService,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,3,1275,0,0,0,0,0,3,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,DropboxLinkMetadata,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,0,1275,0,0,0,0,0,0,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,DropboxListSharedLinksResult,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,0,1275,0,0,0,0,0,0,0,0,352,235,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib,KeyFileNameEditor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,442,696,1,1275,0,0,0,0,0,1,0,0,701,282,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.ImageUploaders,CustomImageUploader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,442,696,0,1275,0,0,0,0,0,1,0,0,85,71,0,0,0,0,1,0,0,0,1,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.ImageUploaders,GooglePhotosNewMediaItemResults,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,442,696,0,1275,0,0,0,0,0,0,0,0,85,71,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.TextUploaders,GitHubGist,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,442,696,2,1275,0,0,0,0,0,3,0,0,53,39,0,0,0,0,1,0,0,0,0,1
Large Class,ShareX.UploadersLib,ShareX.UploadersLib,UploadersConfigValidator,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,442,696,6,1275,0,0,0,0,0,6,0,0,701,282,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib,ImageUploader,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,442,696,1,1275,0,0,0,0,0,1,0,0,701,282,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.ImageUploaders,FlickrUploader,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,442,696,5,1275,0,0,0,0,0,5,0,0,85,71,0,0,0,0,1,0,0,0,0,0
Large Class,ShareX.UploadersLib,ShareX.UploadersLib.ImageUploaders,ImageShackOptions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,442,696,0,1275,0,0,0,0,0,0,0,0,85,71,0,0,0,0,1,0,0,0,0,0
