Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,Blog,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,Charge,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp.Entities,FulfillmentOrderDestination,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,256,360,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,Order,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,PriceBasedShippingRate,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,RefundOrderAdjustment,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,ShippingZone,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,ShopifyObject,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,ShopifyPaymentsPayout,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,0,386,0,0,0,0,0,0,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp,StringExtensions,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,256,360,3,386,0,0,0,0,0,3,0,0,364,340,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp.Filters,CollectionProductsListFilter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,256,360,0,386,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp.Filters,CustomerSavedSearchCountFilter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,256,360,0,386,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Large Class,ShopifySharp(netcoreapp2.1),ShopifySharp.Filters,InventoryItemListFilter,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,256,360,0,386,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
