Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Large Class,osu.Game,osu.Game.Audio,HitSampleInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1813,2800,1,6032,0,0,0,0,0,4,0,0,29,11,0,0,0,0,1,0,0,0,0,0
Large Class,osu.Game,osu.Game.Audio,PreviewTrackManager,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1813,2800,4,6032,0,0,0,0,0,11,0,0,29,11,0,0,0,0,1,0,0,0,2,2
Large Class,osu.Game,osu.Game.Audio,SampleInfo,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1813,2800,1,6032,0,0,0,0,0,3,0,0,29,11,0,0,0,0,1,0,0,0,0,1
Large Class,osu.Game,osu.Game.Beatmaps.ControlPoints,EffectControlPoint,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1813,2800,3,6032,0,0,0,0,0,3,0,0,37,29,0,0,0,0,1,0,0,0,0,0
Large Class,osu.Game,osu.Game.Beatmaps,DifficultyRecommender,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,1813,2800,1,6032,0,0,0,0,0,4,0,0,157,93,0,0,0,0,1,0,0,0,1,3
Large Class,osu.Game,osu.Game.Collections,CollectionFilterDropdown,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,1813,2800,11,6032,0,0,0,0,0,23,0,0,82,24,0,0,0,0,1,0,0,0,0,3
Large Class,osu.Game,osu.Game.Collections,CollectionManager,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,1813,2800,4,6032,0,0,0,0,0,10,0,0,82,24,0,0,0,0,1,0,0,0,2,6
Large Class,osu.Game,osu.Game.Database,DatabaseContextFactory,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,1813,2800,0,6032,0,0,0,0,0,7,0,0,93,58,0,0,0,0,1,0,0,0,5,12
Large Class,osu.Game,osu.Game.Database,ImportTask,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1813,2800,3,6032,0,0,0,0,0,3,0,0,93,58,0,0,0,0,1,0,0,0,0,0
Large Class,osu.Game,osu.Game.Graphics.Containers,HoldToConfirmContainer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,1813,2800,0,6032,0,0,0,0,0,4,0,0,125,54,0,0,0,0,1,0,0,0,4,3
Large Class,osu.Game,osu.Game.Graphics.Containers,LinkFlowContainer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1813,2800,7,6032,0,0,0,0,0,7,0,0,125,54,0,0,0,0,1,0,0,0,0,0
Large Class,osu.Game,osu.Game.Graphics.Containers,SectionsContainer,,1,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,1813,2800,2,6032,0,0,0,0,0,8,0,0,125,54,0,0,0,0,1,0,0,0,9,9
Large Class,osu.Game,osu.Game.Graphics.Cursor,MenuCursor,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1813,2800,0,6032,0,0,0,0,0,8,0,0,23,4,0,0,0,0,1,0,0,0,4,5
Large Class,osu.Game,osu.Game.Graphics.Cursor,MenuCursorContainer,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1813,2800,0,6032,0,0,0,0,0,2,0,0,23,4,0,0,0,0,1,0,0,0,3,3
Large Class,osu.Game,osu.Game.Graphics,DateTooltip,,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1813,2800,3,6032,0,0,0,0,0,5,0,0,41,25,0,0,0,0,1,0,0,0,0,2
Large Class,osu.Game,osu.Game.Graphics.UserInterfaceV2,DirectorySelector,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1813,2800,2,6032,0,0,0,0,0,8,0,0,32,15,0,0,0,0,1,0,0,0,1,1
Large Class,osu.Game,osu.Game.Graphics.UserInterface,DialogButton,,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,1813,2800,0,6032,0,0,0,0,0,8,0,0,289,161,0,0,0,0,1,0,0,0,4,16
